ref;pauta;custo;qtd_prd;qtd_fat;prc_giro;tot_fat;grupo;produto
13890009;159;54.63;153;125;0.816993464;18042.03;COMPRIDO JEANS;FLARE
13891009;149;61.61;124;111;0.89516129;15012.81;COMPRIDO JEANS;SKINNY
13893009;209;65.95;70;65;0.928571429;13129.59;INDIVIDUAL  JEANS;MACACAO
13895009;139;44.71;505;478;0.946534653;63529.48;COMPRIDO JEANS;SKINNY
13896009;139;41.05;490;471;0.96122449;64527.97;COMPRIDO JEANS;SKINNY
13898009;159;47.34;485;472;0.973195876;73563.91;COMPRIDO JEANS;FLARE
13899009;139;39.85;486;477;0.981481481;65526.24;COMPRIDO JEANS;SKINNY
13900048;89;27.81;246;236;0.959349593;20616.15;MODINHA PARTE DE CIMA;BLUSA
13901015;89;27.51;274;269;0.981751825;23268.31;MODINHA PARTE DE CIMA;BLUSA
13902009;139;40.66;451;441;0.977827051;60525.24;JEANS PARTE DE CIMA ;CAMISA
13903009;149;47.24;436;381;0.873853211;51917;INDIVIDUAL  JEANS;MACACAO
13904009;189;55.4;334;295;0.883233533;50483.4;INDIVIDUAL  JEANS;CONJUNTO
13905009;119;36.5;396;388;0.97979798;45465.12;COMPRIDO JEANS;PANTACOURT
13906009;98;30.61;349;296;0.848137536;26173.73;JEANS PARTE DE CIMA ;BLUSA
13907009;119;36.51;344;262;0.761627907;26483.5;JEANS PARTE DE CIMA ;CAMISA
13908009;129;38.97;358;356;0.994413408;45084.2;INDIVIDUAL  JEANS;VESTIDO
13909048;89;25.05;202;194;0.96039604;17131.05;MODINHA PARTE DE CIMA;BLUSA
13910048;89;27.5;134;130;0.970149254;11398.75;MODINHA PARTE DE CIMA;BLUSA
13911048;98;35.31;191;169;0.884816754;15330.55;MODINHA PARTE DE CIMA;BLUSA
13912009;169;55.2;410;406;0.990243902;67136.64;COMPRIDO JEANS;FLARE
13913009;159;50.21;409;387;0.946210269;59595.5;COMPRIDO JEANS;FLARE
13914009;159;50.11;496;487;0.981854839;75902.36;COMPRIDO JEANS;FLARE
13915009;149;43.19;454;432;0.95154185;63609.14;COMPRIDO JEANS;SKINNY
13916009;149;45.05;489;472;0.965235174;69395.3;COMPRIDO JEANS;SKINNY
13917009;149;44.31;494;444;0.898785425;64492.78;COMPRIDO JEANS;SKINNY
13918009;149;45.57;576;553;0.960069444;81056.87;COMPRIDO JEANS;SKINNY
13919009;139;53.7;93;80;0.860215054;10835.57;COMPRIDO JEANS;SKINNY
13920048;89;26.92;110;108;0.981818182;9490.02;MODINHA PARTE DE CIMA;BLUSA
13921009;119;35.86;447;434;0.970917226;50879.34;CURTO  JEANS;BERMUDA
13922009;149;47.29;377;371;0.984084881;54845.8;COMPRIDO JEANS;SKINNY
13923009;159;51.22;394;383;0.972081218;58164.84;COMPRIDO JEANS;FLARE
13924009;139;43.2;388;370;0.953608247;49810.17;INDIVIDUAL  JEANS;VESTIDO
13925009;169;55.82;478;463;0.968619247;77316.74;COMPRIDO JEANS;FLARE
13926009;149;47.38;478;436;0.912133891;64155.15;COMPRIDO JEANS;SKINNY
13927009;139;38.68;435;431;0.990804598;59213.56;COMPRIDO JEANS;SKINNY
13928009;139;40.15;399;384;0.962406015;52525.42;SOBREPOSTO JEANS;JAQUETA
13929009;169;53.68;454;439;0.966960352;69480.69;COMPRIDO JEANS;FLARE
13930009;144;46.43;534;455;0.852059925;64598.39;COMPRIDO JEANS;SKINNY
13931048;69;19.29;247;238;0.963562753;16232.44;MODINHA PARTE DE CIMA;BLUSA
13932009;149;48.54;467;449;0.961456103;66056.11;COMPRIDO JEANS;SKINNY
13933009;139;41.27;491;445;0.906313646;60898.63;COMPRIDO JEANS;SKINNY
13934009;139;48.57;94;55;0.585106383;7517.33;COMPRIDO JEANS;SKINNY
13935009;144;46.75;538;530;0.985130112;75211.82;COMPRIDO JEANS;SKINNY
13936009;144;47.12;515;510;0.990291262;72639.55;COMPRIDO JEANS;SKINNY
13937048;79;22.49;205;193;0.941463415;15135.86;MODINHA PARTE DE CIMA;BLUSA
13938016;89;25.96;198;193;0.974747475;16974.82;MODINHA PARTE DE CIMA;BLUSA
13940009;139;43.52;494;485;0.981781377;66459.67;COMPRIDO JEANS;SKINNY
13941009;139;43.8;481;476;0.98960499;64352.08;COMPRIDO JEANS;SKINNY
13942009;149;49.25;480;453;0.94375;66349.33;COMPRIDO JEANS;FLARE
13943009;139;42.34;443;416;0.939051919;56757;JEANS PARTE DE CIMA ;CAMISA
13945009;109;35.66;445;434;0.975280899;43432.43;CURTO  JEANS;SHORT
13946009;119;36.9;394;355;0.901015228;38452.31;JEANS PARTE DE CIMA ;CAMISA
13947009;98;31.78;451;437;0.968957871;42278.47;CURTO  JEANS;SHORT
13949009;139;41.28;486;473;0.973251029;64470.18;COMPRIDO JEANS;SKINNY
13950009;144;45.34;498;493;0.989959839;70062.14;COMPRIDO JEANS;SKINNY
13951009;189;60.52;510;507;0.994117647;94247.18;COMPRIDO JEANS;FLARE
13952009;139;44.91;492;462;0.93902439;62631.58;COMPRIDO JEANS;SKINNY
13953009;119;36.36;448;446;0.995535714;52103.2;CURTO  JEANS;BERMUDA
13955009;179;59.5;548;536;0.97810219;93827.25;COMPRIDO JEANS;FLARE
13957048;89;31.15;245;232;0.946938776;20373.55;MODINHA PARTE DE CIMA;BLUSA
13959009;139;41.89;517;502;0.97098646;68737.17;COMPRIDO JEANS;SKINNY
13961009;139;47.75;508;499;0.982283465;68394.7;COMPRIDO JEANS;SKINNY
13962009;149;48.39;528;504;0.954545455;73821.88;COMPRIDO JEANS;SKINNY
13963009;119;35.83;398;384;0.964824121;44694.19;JEANS PARTE DE CIMA ;CAMISA
13964009;129;36.86;963;943;0.979231568;118330.1;CURTO  JEANS;SHORT
13965048;79;22.55;195;184;0.943589744;14440.09;MODINHA PARTE DE CIMA;BLUSA
13966015;89;31.33;267;258;0.966292135;22785.87;MODINHA PARTE DE CIMA;BLUSA
13967015;89;31.11;200;195;0.975;17138.13;MODINHA PARTE DE CIMA;BLUSA
13970009;109;35.45;443;441;0.995485327;46084.42;CURTO  JEANS;SHORT
13972009;139;42.51;496;474;0.955645161;64175.38;COMPRIDO JEANS;SKINNY
13973009;149;49.92;498;473;0.949799197;67114.65;COMPRIDO JEANS;FLARE
13974009;139;38.51;477;461;0.966457023;62931.67;COMPRIDO JEANS;SKINNY
13975009;144;37.52;464;450;0.969827586;64082.53;COMPRIDO JEANS;SKINNY
13976009;139;46.58;483;481;0.995859213;65833.92;COMPRIDO JEANS;SKINNY
13977009;139;36.17;492;479;0.973577236;65857.56;COMPRIDO JEANS;SKINNY
13978009;149;47.54;103;90;0.873786408;12556.09;COMPRIDO JEANS;SKINNY
13979009;139;36.47;436;419;0.961009174;56944.04;COMPRIDO JEANS;SKINNY
13980009;149;47.28;497;478;0.961770624;70313.87;COMPRIDO JEANS;SKINNY
13981009;139;40.12;442;434;0.981900452;59484.83;COMPRIDO JEANS;SKINNY
13982056;98;30.91;203;186;0.916256158;16686.8;MODINHA PARTE DE CIMA;BLUSA
13984009;119;38.29;350;321;0.917142857;37312.55;JEANS PARTE DE CIMA ;CAMISA
13985009;98;30.64;390;388;0.994871795;37529.89;CURTO  JEANS;SHORT
13986015;89.9;27.28;195;184;0.943589744;15931.19;MODINHA PARTE DE CIMA;BLUSA
13987048;79;23.53;203;179;0.881773399;11871.4;MODINHA PARTE DE CIMA;BLUSA
13988009;139;44.96;500;470;0.94;64609.87;COMPRIDO JEANS;SKINNY
13989009;159;51.26;428;398;0.929906542;60175.1;COMPRIDO JEANS;FLARE
13990009;139;38.99;469;453;0.965884861;62255.04;COMPRIDO JEANS;SKINNY
13993009;144;46.93;601;593;0.986688852;84400.96;COMPRIDO JEANS;SKINNY
13994009;169;55.52;490;457;0.932653061;73650.46;COMPRIDO JEANS;FLARE
13995009;139;44.27;435;406;0.933333333;54442.94;COMPRIDO JEANS;SKINNY
13997009;139;39.1;477;461;0.966457023;62962.63;COMPRIDO JEANS;SKINNY
13998009;179;58.32;470;461;0.980851064;79889.12;COMPRIDO JEANS;FLARE
13999009;139;47.54;538;527;0.979553903;72323.04;COMPRIDO JEANS;SKINNY
14000009;154;49.41;397;389;0.979848866;59008.71;COMPRIDO JEANS;PANTACOURT
14001009;139;37.39;500;488;0.976;66943.92;COMPRIDO JEANS;SKINNY
14003009;159;51.44;382;365;0.955497382;52324.2;INDIVIDUAL  JEANS;VESTIDO
14004009;144;46.99;493;487;0.987829615;69325.27;COMPRIDO JEANS;SKINNY
14005009;139;38.96;470;421;0.895744681;56202.44;COMPRIDO JEANS;SKINNY
14006009;119;30.51;361;354;0.980609418;41274.72;JEANS PARTE DE CIMA ;CAMISA
14007009;149;43.54;503;476;0.946322068;68181.89;COMPRIDO JEANS;FLARE
14008016;79;23.92;197;182;0.923857868;13874.72;MODINHA PARTE DE CIMA;BLUSA
14009828;89;28.38;101;97;0.96039604;8513.16;MODINHA PARTE DE CIMA;BLUSA
14009829;89;28.38;103;99;0.961165049;8671.75;MODINHA PARTE DE CIMA;BLUSA
14010048;69;17.43;188;184;0.978723404;12119.82;MODINHA PARTE DE CIMA;BLUSA
14012009;139;45.04;381;378;0.992125984;51152.42;INDIVIDUAL  JEANS;MACACAO
14013048;89;26.91;196;179;0.913265306;15655.43;MODINHA PARTE DE CIMA;BLUSA
14014016;79;28.16;206;197;0.95631068;15435.07;MODINHA PARTE DE CIMA;BLUSA
14015048;84;26.09;202;190;0.940594059;15432.02;MODINHA PARTE DE CIMA;BLUSA
14016009;109;32.59;404;384;0.95049505;41414.36;JEANS PARTE DE CIMA ;CAMISA
14017009;109;33.16;418;394;0.942583732;42002.6;CURTO  JEANS;BERMUDA
14019009;139;38.75;522;454;0.869731801;62396.44;COMPRIDO JEANS;SKINNY
14022009;139;45.04;542;472;0.870848708;64377.25;COMPRIDO JEANS;SKINNY
14023009;139;38.02;460;448;0.973913043;61537.43;COMPRIDO JEANS;SKINNY
14025009;144;48.06;477;467;0.979035639;66525.28;COMPRIDO JEANS;SKINNY
14026015;89;23.72;156;148;0.948717949;13040.03;MODINHA PARTE DE CIMA;BLUSA
14030009;179;53.66;315;283;0.898412698;49763.49;INDIVIDUAL  JEANS;MACACAO
14032009;209;65.62;581;329;0.56626506;65986.75;INDIVIDUAL  JEANS;MACACAO
14033009;98;30.16;274;253;0.923357664;23484.11;CURTO  JEANS;SHORT
14035009;149;44.92;502;486;0.96812749;65582.75;COMPRIDO JEANS;FLARE
14036009;144;47.22;487;482;0.98973306;68400.48;COMPRIDO JEANS;SKINNY
14037009;139;45.24;510;490;0.960784314;66834.06;COMPRIDO JEANS;SKINNY
14038009;139;39.52;486;470;0.967078189;62904.2;COMPRIDO JEANS;SKINNY
14039009;119;43.79;497;486;0.977867203;56903.98;CURTO  JEANS;BERMUDA
14041009;139;41.17;500;487;0.974;66731.87;COMPRIDO JEANS;SKINNY
14042009;139;41.82;577;158;0.273830156;21834.2;COMPRIDO JEANS;SKINNY
14043009;144;46.08;518;471;0.909266409;60566.57;COMPRIDO JEANS;SKINNY
14044009;109;33.79;287;279;0.972125436;29695.79;CURTO  JEANS;BERMUDA
14045009;169;50.9;323;308;0.953560372;49512.19;INDIVIDUAL  JEANS;MACACAO
14047048;69;19.92;251;244;0.972111554;15327.42;MODINHA PARTE DE CIMA;BLUSA
14049009;119;35.85;339;218;0.643067847;22388.25;JEANS PARTE DE CIMA ;BLUSA
14050009;149;47.04;331;317;0.957703927;46218.53;JEANS PARTE DE CIMA ;CAMISA
14052009;149;48.67;499;476;0.953907816;69212.62;COMPRIDO JEANS;SKINNY
14053009;98;28.88;111;102;0.918918919;9285.41;CURTO  JEANS;SHORT
14055009;109;35.67;362;360;0.994475138;37932.96;CURTO  JEANS;SAIA
14057009;119;37.47;452;436;0.96460177;50462.96;CURTO  JEANS;BERMUDA
14058009;179;58.28;398;385;0.967336683;68188.45;INDIVIDUAL  JEANS;JARDINEIRA
14059009;144;46.59;501;486;0.97005988;69148.93;COMPRIDO JEANS;SKINNY
14060009;159;51.49;548;407;0.74270073;51776.57;COMPRIDO JEANS;SKINNY
14062009;144;47.19;515;458;0.889320388;64998.06;COMPRIDO JEANS;SKINNY
14064009;139;44.58;508;496;0.976377953;68072.36;COMPRIDO JEANS;SKINNY
14072009;109;34.69;450;439;0.975555556;47412.4;CURTO  JEANS;SAIA
14073009;169;54.43;389;332;0.853470437;53421.07;INDIVIDUAL  JEANS;MACACAO
14074009;139;46.22;493;468;0.949290061;61875.91;COMPRIDO JEANS;SKINNY
14075009;139;43.46;495;475;0.95959596;64900.91;COMPRIDO JEANS;SKINNY
14076009;179;58.54;481;462;0.96049896;80684.69;COMPRIDO JEANS;SKINNY
14077009;159;50.86;501;494;0.986027944;75330.74;COMPRIDO JEANS;FLARE
14078009;209;68.16;483;483;1;94879.33;COMPRIDO JEANS;FLARE
14079009;139;40.96;489;483;0.987730061;65456.77;COMPRIDO JEANS;SKINNY
14082009;98;30.68;344;320;0.930232558;30594.74;JEANS PARTE DE CIMA ;REGATA
14083009;139;43.54;463;442;0.954643629;54884.2;COMPRIDO JEANS;SKINNY
14084009;139.9;46.92;478;466;0.974895397;64009.33;COMPRIDO JEANS;SKINNY
14085009;119;38.94;441;409;0.927437642;45181.24;CURTO  JEANS;BERMUDA
14086009;199;57.75;395;385;0.974683544;75605.2;INDIVIDUAL  JEANS;MACACAO
14087009;189;63.32;432;349;0.80787037;64094.01;INDIVIDUAL  JEANS;MACACAO
14088009;139;40.81;362;345;0.953038674;44807.58;INDIVIDUAL  JEANS;MACACAO
14090026;89;27.72;89;86;0.966292135;7540.05;MODINHA PARTE DE CIMA;BLUSA
14090057;89;27.72;75;73;0.973333333;6424.95;MODINHA PARTE DE CIMA;BLUSA
14091016;79;23.58;277;189;0.682310469;11633.75;MODINHA PARTE DE CIMA;REGATA
14092009;149;48.68;341;332;0.973607038;48666.67;CURTO  JEANS;SAIA
14093009;109;34.35;416;347;0.834134615;30622.95;CURTO  JEANS;SHORT
